bigram,n,star,pec
grooming services,9,4,0.009384775808133473
helpful staff,9,4,0.009384775808133473
parking lot,9,4,0.009384775808133473
2 hours,8,4,0.008342022940563087
2 weeks,8,4,0.008342022940563087
bad experience,8,4,0.008342022940563087
dog treats,8,4,0.008342022940563087
feel comfortable,8,4,0.008342022940563087
fur baby,8,4,0.008342022940563087
humane society,8,4,0.008342022940563087
multiple times,8,4,0.008342022940563087
scottsdale hills,8,4,0.008342022940563087
stop shop,8,4,0.008342022940563087
super nice,8,4,0.008342022940563087
2 dogs,7,4,0.0072992700729927005
30 minutes,7,4,0.0072992700729927005
5 star,7,4,0.0072992700729927005
6 months,7,4,0.0072992700729927005
dog owners,7,4,0.0072992700729927005
emergency clinic,7,4,0.0072992700729927005
hair cut,7,4,0.0072992700729927005
ni love,7,4,0.0072992700729927005
nthe store,7,4,0.0072992700729927005
pet hospital,7,4,0.0072992700729927005
petting zoo,7,4,0.0072992700729927005
pretty cool,7,4,0.0072992700729927005
recently moved,7,4,0.0072992700729927005
shih tzu,7,4,0.0072992700729927005
1 2,6,4,0.006256517205422315
3 4,6,4,0.006256517205422315
4 star,6,4,0.006256517205422315
bad reviews,6,4,0.006256517205422315
bully sticks,6,4,0.006256517205422315
fish tank,6,4,0.006256517205422315
german shepard,6,4,0.006256517205422315
grooming service,6,4,0.006256517205422315
nails trimmed,6,4,0.006256517205422315
nice people,6,4,0.006256517205422315
pet shop,6,4,0.006256517205422315
pet smart,6,4,0.006256517205422315
rewards program,6,4,0.006256517205422315
salt water,6,4,0.006256517205422315
taking care,6,4,0.006256517205422315
vet care,6,4,0.006256517205422315
vet tech,6,4,0.006256517205422315
vet techs,6,4,0.006256517205422315
20 minutes,5,4,0.005213764337851929
6 month,5,4,0.005213764337851929
alta vista,5,4,0.005213764337851929
amazing care,5,4,0.005213764337851929
bad experiences,5,4,0.005213764337851929
betta fish,5,4,0.005213764337851929
boarding facility,5,4,0.005213764337851929
bonnie springs,5,4,0.005213764337851929
check ups,5,4,0.005213764337851929
credit card,5,4,0.005213764337851929
dog loves,5,4,0.005213764337851929
dogs hair,5,4,0.005213764337851929
dr bivens,5,4,0.005213764337851929
dr jen,5,4,0.005213764337851929
extremely helpful,5,4,0.005213764337851929
fancy pets,5,4,0.005213764337851929
fantastic job,5,4,0.005213764337851929
feed store,5,4,0.005213764337851929
food brands,5,4,0.005213764337851929
food treats,5,4,0.005213764337851929
furry friends,5,4,0.005213764337851929
german shepherd,5,4,0.005213764337851929
hard time,5,4,0.005213764337851929
months ago,5,4,0.005213764337851929
customer service,344,1,0.08024259388850012
animal hospital,235,1,0.05481688826685328
front desk,185,1,0.04315372055050152
phone call,79,1,0.018427804991835783
2 weeks,73,1,0.017028224865873572
dog food,71,1,0.0165616981572195
2 hours,70,1,0.016328434802892467
vet tech,70,1,0.016328434802892467
30 minutes,59,1,0.013762537905295079
kennel cough,59,1,0.013762537905295079
3 days,57,1,0.013296011196641007
5 minutes,56,1,0.013062747842313973
credit card,56,1,0.013062747842313973
15 minutes,55,1,0.012829484487986938
3 hours,55,1,0.012829484487986938
emergency vet,55,1,0.012829484487986938
2 days,53,1,0.012362957779332866
20 minutes,53,1,0.012362957779332866
10 minutes,52,1,0.01212969442500583
wellness plan,52,1,0.01212969442500583
multiple times,49,1,0.011429904362024726
pet store,47,1,0.010963377653370656
regular vet,47,1,0.010963377653370656
weeks ago,47,1,0.010963377653370656
1 2,46,1,0.01073011429904362
3 times,44,1,0.010263587590389549
extremely rude,44,1,0.010263587590389549
teeth cleaning,44,1,0.010263587590389549
horrible experience,43,1,0.010030324236062515
pet owners,43,1,0.010030324236062515
worst experience,43,1,0.010030324236062515
fur baby,41,1,0.009563797527408444
pet hospital,41,1,0.009563797527408444
blood test,40,1,0.009330534173081408
months ago,40,1,0.009330534173081408
2 dogs,39,1,0.009097270818754374
office manager,39,1,0.009097270818754374
nail trim,38,1,0.008864007464427339
5 days,37,1,0.008630744110100303
las vegas,36,1,0.008397480755773267
nmy dog,36,1,0.008397480755773267
puppy mills,36,1,0.008397480755773267
fur babies,35,1,0.008164217401446234
hard time,35,1,0.008164217401446234
ear infection,34,1,0.007930954047119198
poor customer,34,1,0.007930954047119198
humane society,33,1,0.007697690692792162
2 months,32,1,0.0074644273384651275
24 hours,32,1,0.0074644273384651275
3 weeks,32,1,0.0074644273384651275
days ago,32,1,0.0074644273384651275
negative reviews,32,1,0.0074644273384651275
phone calls,32,1,0.0074644273384651275
poor dog,32,1,0.0074644273384651275
vet bill,32,1,0.0074644273384651275
45 minutes,31,1,0.007231163984138092
office staff,31,1,0.007231163984138092
parking lot,31,1,0.007231163984138092
vet clinic,31,1,0.007231163984138092
0 stars,30,1,0.006997900629811057
1 star,30,1,0.006997900629811057
office visit,30,1,0.006997900629811057
4 days,29,1,0.0067646372754840214
test results,29,1,0.0067646372754840214
pain meds,28,1,0.006531373921156987
vet told,28,1,0.006531373921156987
5 hours,27,1,0.006298110566829951
hair cut,27,1,0.006298110566829951
valley fever,27,1,0.006298110566829951
vet bills,27,1,0.006298110566829951
10 days,26,1,0.006064847212502915
1st pet,26,1,0.006064847212502915
horrible customer,26,1,0.006064847212502915
money hungry,26,1,0.006064847212502915
ni called,26,1,0.006064847212502915
story short,26,1,0.006064847212502915
4 hours,25,1,0.005831583858175881
bad reviews,25,1,0.005831583858175881
couple days,25,1,0.005831583858175881
front office,25,1,0.005831583858175881
pet owner,25,1,0.005831583858175881
6 months,24,1,0.005598320503848845
bad experience,24,1,0.005598320503848845
business owner,24,1,0.005598320503848845
dog park,24,1,0.005598320503848845
nails trimmed,24,1,0.005598320503848845
vet visit,24,1,0.005598320503848845
bow wow,23,1,0.00536505714952181
camp bow,23,1,0.00536505714952181
dog grooming,23,1,0.00536505714952181
horrible service,23,1,0.00536505714952181
taking care,23,1,0.00536505714952181
vet dr,23,1,0.00536505714952181
2 3,22,1,0.0051317937951947746
animal clinic,22,1,0.0051317937951947746
fast forward,22,1,0.0051317937951947746
golden retriever,22,1,0.0051317937951947746
pit bull,22,1,0.0051317937951947746
3 dogs,21,1,0.00489853044086774
dog owner,21,1,0.00489853044086774
customer service,48,2,0.059186189889025895
front desk,42,2,0.051787916152897656
animal hospital,20,2,0.02466091245376079
1 2,15,2,0.018495684340320593
10 minutes,15,2,0.018495684340320593
2 stars,15,2,0.018495684340320593
dr fonza,14,2,0.01726263871763255
regular vet,14,2,0.01726263871763255
dog food,12,2,0.014796547472256474
fur baby,12,2,0.014796547472256474
vet tech,12,2,0.014796547472256474
15 minutes,11,2,0.013563501849568433
2 days,11,2,0.013563501849568433
2 hours,11,2,0.013563501849568433
45 minutes,11,2,0.013563501849568433
office staff,11,2,0.013563501849568433
pet store,11,2,0.013563501849568433
phone call,11,2,0.013563501849568433
30 minutes,10,2,0.012330456226880395
6 months,10,2,0.012330456226880395
exam fee,10,2,0.012330456226880395
weeks ago,10,2,0.012330456226880395
20 minutes,9,2,0.011097410604192354
3 times,9,2,0.011097410604192354
desk staff,9,2,0.011097410604192354
las vegas,9,2,0.011097410604192354
months ago,9,2,0.011097410604192354
nail trim,9,2,0.011097410604192354
